summary,id,issue_type,priority,severity,story_points,sprint_id,created_at,resolved_at,actual_completed_rank,status
Bug in listing bitbucket repos,SRCTREEWIN-13758,bug,low,critical,6,27,4-Jan-22,9-Mar-22,3225,Done
Spaces in File path of Custom Action,SRCTREEWIN-13757,bug,low,minor,3,27,3-Jan-22,,,To Do
Failed to start (System.BadImageFormatException),SRCTREEWIN-13756,bug,low,major,1,8,3-Jan-22,,,To Do
commit view show in branchs,SRCTREEWIN-13755,suggestion,low,,2,13,25-Dec-21,,,To Do
Add extended integration with Team Foundation Server (TFS) 2015 and Visual Studio Online,SRCTREEWIN-13754,suggestion,low,,2,15,23-Dec-21,,,To Do
Sourcetree is using /2.0/teams endpoint to fetch list of repositories user has access to,SRCTREEWIN-13753,suggestion,low,,3,15,23-Dec-21,9-Mar-22,3230,Done
git.exe fsmonitor process did not exit after close sourcetree,SRCTREEWIN-13752,bug,low,major,7,15,20-Dec-21,,,To Do
Crash when clone remote EMPTY (private) GitHUB repository,SRCTREEWIN-13751,bug,low,major,2,12,19-Dec-21,9-Mar-22,3232,Done
Log 4j vulnerability,SRCTREEWIN-13749,bug,low,critical,6,22,16-Dec-21,,,To Do
SourceTree\app-3.4.7\log4net.dll,SRCTREEWIN-13748,suggestion,low,,6,1,16-Dec-21,9-Mar-22,3234,Done
Sourcetree Graphics Problems,SRCTREEWIN-13747,bug,low,major,1,11,10-Dec-21,,,To Do
Sourcetree crash on startup,SRCTREEWIN-13746,bug,low,critical,8,1,10-Dec-21,,,To Do
Sourcetree Stop during Clone -> advanced setting,SRCTREEWIN-13745,bug,low,major,7,23,9-Dec-21,,,To Do
SourceTree doesn't support GBK encoding format files.,SRCTREEWIN-13743,suggestion,low,,4,9,8-Dec-21,,,To Do
Multiple keys with same alias.,SRCTREEWIN-13742,bug,low,minor,3,29,8-Dec-21,,,To Do
Source Tree is Crashing without any message while cloning remote repository.,SRCTREEWIN-13741,bug,low,critical,4,13,7-Dec-21,,,To Do
Add ability to copy list of file from commit and url for commit,SRCTREEWIN-13740,suggestion,low,,5,9,7-Dec-21,,,To Do
Make Linux version available,SRCTREEWIN-13739,suggestion,low,,5,24,7-Dec-21,,,To Do
Errors During Installation,SRCTREEWIN-13738,bug,low,minor,4,5,6-Dec-21,,,To Do
Folder icons for Local repositories overlap text,SRCTREEWIN-13737,bug,low,minor,8,17,1-Dec-21,,,To Do
Cannot Remove Keys from SSH Agent,SRCTREEWIN-13736,bug,low,minor,1,13,29-Nov-21,,,To Do
Versionstring not update after auto-update,SRCTREEWIN-13735,bug,low,minor,6,26,28-Nov-21,,,To Do
Cloning a repository that doesn't contain any branch and commit crashes the app,SRCTREEWIN-13734,bug,low,major,6,8,27-Nov-21,,,To Do
Denial of service when cloning an empty git repository,SRCTREEWIN-13733,bug,low,minor,8,3,26-Nov-21,9-Mar-22,3248,Done
graphic artifacts,SRCTREEWIN-13732,bug,low,major,5,22,23-Nov-21,,,To Do
Error at cloning Repository,SRCTREEWIN-13731,bug,low,minor,7,6,22-Nov-21,,,To Do
Sourcetree crashes when trying to pull a repository (after  being recognized as a valid git repository),SRCTREEWIN-13730,bug,low,major,4,5,21-Nov-21,,,To Do
Userpics in commits,SRCTREEWIN-13729,bug,low,minor,5,26,19-Nov-21,,,Done
SourceTree crashes while trying to clone empty repository,SRCTREEWIN-13728,bug,low,minor,1,17,19-Nov-21,9-Mar-22,3253,Done
Update-Dialog unreadable in Dark-mode,SRCTREEWIN-13727,bug,low,minor,6,29,18-Nov-21,31-May-22,3254,Done
SourceTree doesn't open nor reinstall (after Windows 10 Update),SRCTREEWIN-13726,bug,low,critical,4,26,17-Nov-21,,,To Do
Diff view: Show whitespace should display a different symbol for tabs,SRCTREEWIN-13725,suggestion,low,,4,9,15-Nov-21,,,To Do
"In Windows 11 environment, minimizing the program and maximizing the program again will cause the page to crash",SRCTREEWIN-13724,bug,low,minor,8,19,15-Nov-21,,,To Do
unable to use sourcetree,SRCTREEWIN-13723,bug,low,critical,5,10,14-Nov-21,,,To Do
Choosing resolve using mine asks me to confirm that I want to resolve using theirs,SRCTREEWIN-13722,bug,low,major,5,25,13-Nov-21,,,To Do
V3.4.6 crashes in Clone dialog,SRCTREEWIN-13721,bug,low,critical,5,13,12-Nov-21,,,To Do
Issues when trtying to Authenticate.,SRCTREEWIN-13720,bug,low,minor,2,7,10-Nov-21,,,To Do
Issue with local repositories and tabs at startup,SRCTREEWIN-13719,bug,low,major,5,2,9-Nov-21,,,To Do
Issue with local repositories and tabs at startup,SRCTREEWIN-13717,bug,low,major,1,26,8-Nov-21,,,To Do
Graphics issues when mousing over the interface,SRCTREEWIN-13715,bug,low,minor,1,2,3-Nov-21,,,To Do
Pin Favourite Files in SourceTree,SRCTREEWIN-13714,suggestion,low,,7,8,2-Nov-21,,,To Do
"Buttons getting disappeared.. while I hover on commit,pull,fetch,stash..",SRCTREEWIN-13713,bug,low,critical,2,8,2-Nov-21,,,To Do
Unable to stage files or trunks when accented letters are present in the code,SRCTREEWIN-13712,bug,low,critical,4,4,27-Oct-21,,,To Do
[Major Annoying] Fix index position is reset in the list of Unstaged Files,SRCTREEWIN-13711,suggestion,low,,1,30,21-Oct-21,,,To Do
Sourcetree does not let me push to remote branch from by local branch,SRCTREEWIN-13710,bug,low,major,7,3,21-Oct-21,,,To Do
Cannot login during app start - webpage is down,SRCTREEWIN-13709,bug,low,major,8,24,21-Oct-21,,,To Do
"Track of ""Clean"" files doesn't work",SRCTREEWIN-13708,bug,low,critical,7,15,13-Oct-21,,,To Do
"""Clear all changes"" button",SRCTREEWIN-13707,suggestion,low,,2,29,7-Oct-21,,,To Do
"Visually and consistently distinguish the ""main"" branch",SRCTREEWIN-13706,suggestion,low,,2,22,5-Oct-21,,,To Do
Text unreadable on password edit dialog in dark theme,SRCTREEWIN-13705,bug,low,minor,4,8,29-Sep-21,9-Mar-22,3274,Done
Commit button will not commit when adding a file,SRCTREEWIN-13704,bug,low,critical,3,17,27-Sep-21,,,To Do
"I hope you can add the function of jumping to the corresponding submission according to the ""Sha value"" in the submission description",SRCTREEWIN-13703,suggestion,low,,3,7,26-Sep-21,,,To Do
Crash on editing remote,SRCTREEWIN-13702,bug,low,critical,2,13,24-Sep-21,,,To Do
"Stash + ""Keep staged changes"" does not keep changes",SRCTREEWIN-13701,bug,low,minor,6,28,14-Sep-21,,,To Do
Sourcetree crashes,SRCTREEWIN-13699,bug,low,critical,3,27,13-Sep-21,18-Nov-21,3279,Done
Discarding multiple unstaged files consumes too much memory,SRCTREEWIN-13697,suggestion,low,,7,21,1-Sep-21,,,To Do
Sourcetree is shipping outdated putty binaries,SRCTREEWIN-13696,bug,low,major,7,19,26-Aug-21,9-Mar-22,3281,Done
Move existing tag always fails with error,SRCTREEWIN-13695,bug,low,minor,1,13,25-Aug-21,,,To Do
End the program when cloning from empty remote repository.,SRCTREEWIN-13694,bug,low,minor,6,15,25-Aug-21,,,To Do
Commit message enhancement,SRCTREEWIN-13689,suggestion,low,,2,1,24-Aug-21,,,To Do
Open local repository by drag & drop does not work since 3.4.2,SRCTREEWIN-13688,bug,low,minor,4,16,24-Aug-21,,,To Do
Can't install sourceTree v. 1.9.13.7,SRCTREEWIN-13687,bug,low,major,5,28,23-Aug-21,,,To Do
"Context menu options disappear, font is blurry",SRCTREEWIN-13686,bug,low,minor,2,15,23-Aug-21,,,To Do
Checksummed file size doesn't match during update,SRCTREEWIN-13683,bug,low,major,1,6,21-Aug-21,23-Aug-21,3288,Done
Checksummed file size doesn't match during update,SRCTREEWIN-13682,bug,low,major,2,2,19-Aug-21,23-Aug-21,3289,Done
Increase the size of this button,SRCTREEWIN-13681,suggestion,low,,1,18,18-Aug-21,31-May-22,3290,Done
"Unable to Run/Re-install Sourcetree - ""Sourcetree has stopped working""",SRCTREEWIN-13680,bug,low,major,7,19,18-Aug-21,,,To Do
Checksum error on update,SRCTREEWIN-13679,bug,low,critical,7,30,18-Aug-21,20-Aug-21,3292,Done
Source Tree for windows - v3.4.5:  security Vulnerability CVE-2018-1285 for log4net,SRCTREEWIN-13678,bug,low,critical,7,7,18-Aug-21,9-Mar-22,3293,Done
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,SRCTREEWIN-13677,bug,low,critical,1,14,12-Aug-21,,,To Do
【crash】Cloning a newly created Gitlib project without branches or files sourcetree will crash,SRCTREEWIN-13676,bug,low,minor,8,25,12-Aug-21,,,To Do
Dictionary file blocks Sourcetree 2.3.1 from starting up,SRCTREEWIN-13675,bug,medium,major,6,25,9-Aug-21,11-Nov-21,3296,Done
Identification,SRCTREEWIN-13674,bug,low,minor,3,9,3-Aug-21,,,To Do
Context Menü on Files very unresponsive when LFS is activated on Repository,SRCTREEWIN-13672,bug,low,major,7,25,23-Jul-21,,,To Do
Resolve the problem with github OAuth authentification,SRCTREEWIN-13671,bug,low,critical,5,6,22-Jul-21,,,To Do
GUI glitch for many buttons,SRCTREEWIN-13670,bug,low,major,8,9,22-Jul-21,,,To Do
Tab (bar) position,SRCTREEWIN-13669,suggestion,low,,5,28,21-Jul-21,,,To Do
Closing a branch with one commit does not create a new commit,SRCTREEWIN-13668,bug,low,minor,4,15,20-Jul-21,,,To Do
SourceTree Auto off,SRCTREEWIN-13666,bug,low,major,4,17,14-Jul-21,,,To Do
We use virustotal find sourcetree 3.4.5 has Trojan Horse on it,SRCTREEWIN-13665,bug,low,minor,6,20,13-Jul-21,,,To Do
Decode URL-encoded characters when cloning a Git repository,SRCTREEWIN-13664,suggestion,low,,7,4,13-Jul-21,,,To Do
Maximized window under taskbar,SRCTREEWIN-13662,bug,low,minor,3,1,7-Jul-21,,,To Do
Remote option in source tree not working when click on that your windows source tree application crash,SRCTREEWIN-13660,bug,low,critical,5,24,6-Jul-21,,,To Do
Force push fails silently,SRCTREEWIN-13658,bug,low,major,8,2,5-Jul-21,,,To Do
"Patch-based staging (hunk, line) fails for non-UTF8 encoded files",SRCTREEWIN-13657,bug,low,major,6,8,5-Jul-21,,,To Do
"Application crashes silently when opening a local repository, while running without admin privliges",SRCTREEWIN-13656,bug,low,critical,3,8,3-Jul-21,,,To Do
SourceTree does not offer branches for pushing,SRCTREEWIN-13655,bug,low,critical,5,15,2-Jul-21,,,To Do
Latest v3.4.5 does not pull any remote tags,SRCTREEWIN-13654,bug,low,major,2,11,1-Jul-21,,,To Do
git log failed,SRCTREEWIN-13653,bug,low,critical,2,1,1-Jul-21,,,To Do
"When I try clone my repo, the sourceTree crashed and Done",SRCTREEWIN-13652,bug,low,critical,8,17,1-Jul-21,,,To Do
"Unable to merge with GUI when the merge source branch name contains "","".",SRCTREEWIN-13651,bug,low,critical,1,11,1-Jul-21,,,To Do
"Amend commit: ""Replace commit text?"" dialog bug",SRCTREEWIN-13650,bug,low,minor,7,5,30-Jun-21,,,To Do
Commit message window resets,SRCTREEWIN-13649,bug,low,major,6,21,30-Jun-21,,,To Do
Can't push to github after access token changed,SRCTREEWIN-13648,bug,low,major,5,7,30-Jun-21,,,To Do
When do you update Putty?,SRCTREEWIN-13647,bug,low,major,7,23,30-Jun-21,,,To Do
After setting my git account in sourcetree i am getting no unix socket support while pulling branch code,SRCTREEWIN-13646,bug,low,major,6,23,30-Jun-21,,,To Do
Support multiple SSH keys,SRCTREEWIN-13645,bug,low,minor,2,30,27-Jun-21,,,To Do
SSH passphrase times out,SRCTREEWIN-13644,bug,low,minor,7,25,27-Jun-21,,,To Do
Sourctree terminal is not working with latest Sourcetree 3.4.3,SRCTREEWIN-13643,suggestion,low,,3,26,25-Jun-21,,,To Do
Files deleted after performing update of multiple files,SRCTREEWIN-13642,bug,low,major,5,15,24-Jun-21,,,To Do
"Add repository by path doesn't normalize slashes making ""Open in Explorer"" not to work",SRCTREEWIN-13641,bug,low,minor,1,15,23-Jun-21,,,To Do
"Modal dialog gets stuck behind main window, making program unusable",SRCTREEWIN-13640,bug,low,critical,5,29,22-Jun-21,,,To Do
"Opening modal popup dialogs like ""Jump to Commit"" should set focus the required text input",SRCTREEWIN-13639,suggestion,low,,7,11,22-Jun-21,,,To Do
Jump to commit by commit Id doesn't work with upper-case commit Ids,SRCTREEWIN-13638,bug,low,minor,7,22,22-Jun-21,,,To Do
Sourcetree will not start beyond splash screen,SRCTREEWIN-13637,bug,low,major,6,20,22-Jun-21,,,To Do
Gitflow Not Supported,SRCTREEWIN-13636,bug,low,major,2,5,22-Jun-21,,,To Do
Git LFS not working when file locking option is set,SRCTREEWIN-13635,bug,low,major,1,15,21-Jun-21,,,To Do
SourceTree - Settings/Preferences not saved,SRCTREEWIN-13634,bug,low,minor,2,5,20-Jun-21,,,To Do
"Make SourceTree reference the in-repo ""icon.png"" in a way that allows deleting the file",SRCTREEWIN-13633,bug,low,minor,5,14,18-Jun-21,,,To Do
Spaces and tabs in diff views are displayed in the wrong position,SRCTREEWIN-13632,bug,low,minor,6,3,17-Jun-21,,,To Do
SourceTree 3.4.5 crash on RepoHandlerGitOld.GetDefaultBranch,SRCTREEWIN-13631,bug,low,major,3,5,17-Jun-21,9-Mar-22,3335,Done
Failed to reverse merge commit,SRCTREEWIN-13630,bug,low,major,3,3,16-Jun-21,,,To Do
SourceTree crashes when cloning a repository from BitBucket,SRCTREEWIN-13629,bug,low,minor,8,30,15-Jun-21,,,To Do
AskPass.exe error,SRCTREEWIN-13628,bug,low,major,3,14,15-Jun-21,,,To Do
Crash when changing diff font size,SRCTREEWIN-13627,bug,low,major,2,11,12-Jun-21,,,To Do
sourcetree version 3.4.5 is bundling outdated pageant 0.70.2,SRCTREEWIN-13626,bug,low,major,5,2,11-Jun-21,,,To Do
Azure Devops auth not working,SRCTREEWIN-13625,bug,low,major,5,8,10-Jun-21,,,To Do
Scroll amount in tab bar.,SRCTREEWIN-13624,bug,low,minor,8,14,8-Jun-21,,,To Do
Force push setting is reset during upgrade 3.4.4 -> 3.4.5,SRCTREEWIN-13622,bug,low,minor,2,18,8-Jun-21,,,To Do
"After updating, system git no longer works with sourcetree",SRCTREEWIN-13621,bug,low,critical,4,18,7-Jun-21,,,To Do
Commit log textbox problem with new version IME for Japanese,SRCTREEWIN-13620,bug,low,minor,4,20,4-Jun-21,,,To Do
support new format of PuttyGen Release 0.75,SRCTREEWIN-13619,bug,low,major,2,6,4-Jun-21,,,To Do
Show in Explorer reopens existing folder,SRCTREEWIN-13618,bug,low,minor,2,28,3-Jun-21,,,To Do
Failed to check login for user,SRCTREEWIN-13617,bug,low,major,5,4,31-May-21,,,To Do
Push refspec not honored,SRCTREEWIN-13616,bug,high,,6,5,26-May-21,,,To Do
"Bug in the display when doing the ""git flow finish feature"".",SRCTREEWIN-13615,bug,low,minor,6,28,24-May-21,,,To Do
Local branch does not appear in push dialog box,SRCTREEWIN-13614,bug,low,minor,8,20,20-May-21,,,To Do
Sourcetree constantly asks for GitHub credentials,SRCTREEWIN-13613,bug,low,major,2,15,20-May-21,,,To Do
Ignore file patterns diff option does not work for untracked files,SRCTREEWIN-13612,bug,low,minor,4,15,18-May-21,,,To Do
Can't activate focused button with the space key,SRCTREEWIN-13611,suggestion,low,critical,5,5,18-May-21,,,To Do
Unable to remove submodules that located at folder which contains space,SRCTREEWIN-13610,bug,low,minor,8,11,18-May-21,,,To Do
SourceTree doesn't list local branches with underscore '_' as Tracked,SRCTREEWIN-13609,bug,low,minor,6,18,18-May-21,,,To Do
"An ""Open Termial"" button fails for git bash [git-scm 2.31.1]",SRCTREEWIN-13608,bug,low,minor,8,29,17-May-21,18-May-21,3357,Done
Source Tree not getting started,SRCTREEWIN-13606,bug,low,major,8,28,10-May-21,,,To Do
"Sourcetree sees changes after fresh ""git clone"" on WSL",SRCTREEWIN-13605,bug,low,minor,7,2,6-May-21,,,To Do
Global Author details do not update after closing Options,SRCTREEWIN-13604,bug,low,minor,8,24,5-May-21,,,To Do
When changing Branch working tree files do not refresh,SRCTREEWIN-13603,bug,low,minor,2,7,3-May-21,,,To Do
"After changing Bitbucket password, Source tree is no longer syncs with remote branch.",SRCTREEWIN-13602,bug,low,critical,1,4,3-May-21,,,To Do
"Files disappear in ""staged files""",SRCTREEWIN-13601,bug,low,critical,2,6,30-Apr-21,,,To Do
Name of branch on hover in History Tab,SRCTREEWIN-13600,suggestion,low,,1,30,29-Apr-21,,,To Do
Staging files deletes them instead if main working tree is not in default location.,SRCTREEWIN-13599,bug,low,critical,3,3,29-Apr-21,,,To Do
SourceTree crashes on startup for multi-user / RDP environments,SRCTREEWIN-13598,bug,low,major,6,24,29-Apr-21,,,To Do
Filter History by user,SRCTREEWIN-13597,suggestion,low,,8,15,28-Apr-21,,,To Do
Opening and closing Sourcetree causes Pageant to crash/close,SRCTREEWIN-13596,bug,low,major,1,28,26-Apr-21,27-Apr-21,3368,Done
SourceTree not working,SRCTREEWIN-13595,bug,low,major,3,2,23-Apr-21,,,To Do
Squashing With Previous ignores the last item in the list,SRCTREEWIN-13594,bug,low,critical,4,26,22-Apr-21,12-May-21,3370,Done
make branch first time not show,SRCTREEWIN-13593,bug,low,critical,8,8,21-Apr-21,,,To Do
Backgroud refresh task cause mouse no response,SRCTREEWIN-13592,bug,low,minor,5,24,19-Apr-21,,,To Do
Pending filter in File Status view does not show newly added and modified files,SRCTREEWIN-13591,bug,low,major,7,12,18-Apr-21,,,To Do
sakila,SRCTREEWIN-13590,bug,low,minor,4,17,18-Apr-21,22-Apr-21,3374,Done
Invalid Username & Password error while pull or push on the source tree,SRCTREEWIN-13589,bug,low,critical,1,2,14-Apr-21,,,To Do
Registration form: unclear error message when registrted new user,SRCTREEWIN-13588,bug,low,critical,6,15,13-Apr-21,13-Apr-21,3376,Done
Cannot push with force,SRCTREEWIN-13587,bug,low,critical,4,21,12-Apr-21,21-May-21,3377,Done
"Dream It, Be It 2022",SRCTREEWIN-13574,bug,low,minor,3,24,9-Apr-21,12-Apr-21,3378,Done
Yoshi test,SRCTREEWIN-13573,bug,low,minor,8,13,9-Apr-21,22-Apr-21,3379,Done
SourceTree display error,SRCTREEWIN-13569,bug,low,minor,5,14,5-Apr-21,,,To Do
3.4.3 Won't Install,SRCTREEWIN-13552,bug,low,minor,1,20,2-Apr-21,13-Apr-21,3381,Done
Not able to clone git repos,SRCTREEWIN-13550,bug,low,major,7,11,31-Mar-21,,,To Do
ssl cerficate,SRCTREEWIN-13549,bug,low,minor,6,8,30-Mar-21,,,To Do
Cannot open a terminal when system git is enabled,SRCTREEWIN-13547,bug,low,minor,3,4,27-Mar-21,29-Mar-21,3384,Done
Remote branch name resets to empty string when select for pushing the first time,SRCTREEWIN-13546,bug,low,major,3,15,25-Mar-21,7-Apr-21,3385,Done
Github Login required despite no repository or login of github used!,SRCTREEWIN-13545,bug,low,minor,1,22,25-Mar-21,,,To Do
Sourcetree erroneously closing pageant on exit,SRCTREEWIN-13544,bug,low,minor,7,1,24-Mar-21,24-Mar-21,3387,Done
Terminal no longer opens,SRCTREEWIN-13543,bug,low,major,5,22,22-Mar-21,24-Mar-21,3388,Done
Failed stage lines,SRCTREEWIN-13541,bug,low,major,1,6,5-Mar-21,,,To Do
Cannot unstage hunk,SRCTREEWIN-13540,bug,low,major,5,4,5-Mar-21,,,To Do
Data,SRCTREEWIN-13539,bug,low,critical,1,7,18-Mar-21,23-Apr-21,3391,Done
Application crashes when...,SRCTREEWIN-13538,bug,low,major,2,19,18-Mar-21,29-Mar-21,3392,Done
Embedded PuTTY replaces running instance of PuTTY,SRCTREEWIN-13537,bug,low,minor,6,16,18-Mar-21,,,To Do
add option to ignore EOL and .symlink files,SRCTREEWIN-13536,suggestion,low,,4,23,18-Mar-21,,,To Do
cannot resolve conflicts on changed files with removed files from master branch,SRCTREEWIN-13535,bug,low,major,6,30,17-Mar-21,9-Apr-21,3395,Done
Sourcetree on exit terminates pageant process while it should not,SRCTREEWIN-13534,bug,low,major,3,8,16-Mar-21,16-Mar-21,3396,Done
Git Bash cannot be opened anymore with Git 2.31,SRCTREEWIN-13533,bug,low,major,4,27,16-Mar-21,17-Jun-21,3397,Done
Can't find correct git.exe path,SRCTREEWIN-13531,bug,low,minor,3,10,14-Mar-21,,,To Do
External merge does not work in windows sourcetree,SRCTREEWIN-13518,bug,low,major,2,23,11-Mar-21,,,To Do
paste path into sourcetree (with ctrl-v) selects the file,SRCTREEWIN-13517,suggestion,low,,4,2,14-Feb-21,,,To Do
Adding WinMerge to merge tool selection,SRCTREEWIN-13514,suggestion,low,,2,27,8-Mar-21,,,To Do
RepoHandlerGitOld.NeedsLargeFilesPull incorrectly returning true for files reported unchanged by LFS,SRCTREEWIN-13513,bug,low,minor,2,3,8-Mar-21,22-Oct-21,3402,Done
Impossible to access to the Remote Account page,SRCTREEWIN-13511,bug,low,critical,7,17,7-Mar-21,,,To Do
Logical tree level for local branches,SRCTREEWIN-13496,suggestion,low,,5,27,6-Mar-21,,,To Do
Group repositories by project,SRCTREEWIN-13485,suggestion,low,,5,14,3-Mar-21,,,To Do
Application crashed while selecting files to stage,SRCTREEWIN-13484,bug,low,minor,2,21,3-Mar-21,12-Apr-21,3406,Done
Cannot browse/switch to system mercurial,SRCTREEWIN-13483,bug,low,major,4,19,3-Mar-21,,,To Do
Subwindow drap and drop can not be dropped at any position in File Status and History tab for notebook screen proportion,SRCTREEWIN-13482,bug,low,major,4,28,17-Feb-21,,,To Do
Allow current file path text to be selected/copied,SRCTREEWIN-13481,suggestion,low,,1,15,1-Mar-21,,,To Do
RCE via git-lfs in Sourcetree for Windows - CVE-2021-21237,SRCTREEWIN-13480,bug,low,critical,3,12,26-Feb-21,26-Feb-21,3410,Done
Add option to Sort Files by Modified date,SRCTREEWIN-13479,suggestion,low,,4,4,25-Feb-21,,,To Do
Sourcetree shuts down foreign pageant process,SRCTREEWIN-13478,bug,low,minor,7,9,25-Feb-21,2-Mar-21,3412,Done
spell check of commit messages does not work,SRCTREEWIN-13477,bug,low,major,6,22,25-Feb-21,15-Mar-21,3413,Done
support clone SVN in Windows,SRCTREEWIN-13476,suggestion,low,,3,10,24-Feb-21,,,To Do
Sourcetree closes pageant on exit even if it hadn't been started by Sourcetree.,SRCTREEWIN-13475,bug,low,minor,4,3,23-Feb-21,17-Jun-21,3415,Done
SourceTree Crashes if launched by a non-admin while another user is running PAgent,SRCTREEWIN-13474,bug,low,major,1,7,23-Feb-21,17-Jun-21,3416,Done
Unable to checkout to a local branch.,SRCTREEWIN-13473,bug,low,critical,6,17,22-Feb-21,17-Jun-21,3417,Done
Sourcetree closes on Cancelling the checking out branch from browser,SRCTREEWIN-13472,bug,low,minor,7,27,22-Feb-21,22-Oct-21,3418,Done
Allow tags to be added using date of commit instead of current date,SRCTREEWIN-13470,suggestion,low,,8,30,18-Feb-21,,,To Do
Remote not detected after username & password keyed in,SRCTREEWIN-13469,bug,low,minor,8,27,18-Feb-21,,,To Do
go to HEAD,SRCTREEWIN-13468,suggestion,low,,8,8,16-Feb-21,,,To Do
SourceTree merge resolve conflicts doesn't launch beyond compare,SRCTREEWIN-13467,bug,low,major,3,4,14-Feb-21,,,To Do
100% Disk usage,SRCTREEWIN-13466,bug,low,critical,3,6,12-Feb-21,,,To Do
3.4.3-beta-1 issues,SRCTREEWIN-13465,bug,low,major,1,23,11-Feb-21,,,To Do
Code selection copy in Commit history view makes app unresponsive,SRCTREEWIN-13464,bug,low,major,8,6,10-Feb-21,,,To Do
Intermitent GitHub/GitLab login window is shown,SRCTREEWIN-13463,bug,low,minor,2,6,9-Feb-21,,,To Do
Launch SSH Agent should display correct state,SRCTREEWIN-13459,bug,low,minor,8,29,8-Feb-21,22-Feb-21,3427,Done
Sourcetree freezing on being left in background,SRCTREEWIN-13458,bug,low,major,4,2,8-Feb-21,11-Nov-21,3428,Done
v3.8.8 - Local repository list freezes when scrolling is needed,SRCTREEWIN-13457,bug,low,minor,3,7,7-Feb-21,8-Feb-21,3429,Done
Optional extended integration settings of remote are not saved across SourceTree restarts,SRCTREEWIN-13450,bug,low,major,4,12,5-Feb-21,22-Oct-21,3430,Done
Application get crashed while clicking on edit button in remote settings,SRCTREEWIN-13449,bug,low,critical,8,1,5-Feb-21,5-Feb-21,3431,Done
Buffer overflow with git shell,SRCTREEWIN-13448,bug,low,major,2,26,4-Feb-21,,,To Do
Unable to create pull request,SRCTREEWIN-13447,bug,low,major,6,4,3-Feb-21,4-Feb-21,3433,Done
Report how conflict was resolved,SRCTREEWIN-13446,suggestion,low,,4,29,3-Feb-21,,,To Do
Cannot fetch or pull on Sourcetree for windows,SRCTREEWIN-13445,bug,low,critical,4,18,2-Feb-21,,,To Do
Startup window default tab incorrect information,SRCTREEWIN-13444,suggestion,low,minor,6,23,30-Jan-21,,,To Do
checkout-existing” option isn’t working with 3.3.9 version of sourcetree as the remote repository details are not being fetched.,SRCTREEWIN-13440,bug,low,major,6,23,1-Feb-21,,,To Do
Can't create a pull request,SRCTREEWIN-13439,bug,low,minor,8,7,1-Feb-21,2-Feb-21,3438,Done
Different branch folders are merged anyway,SRCTREEWIN-13438,bug,low,minor,6,15,1-Feb-21,,,To Do
'git lfs pull' called everytime when starting Sourcetree or opening a repository in a tab,SRCTREEWIN-13437,bug,low,minor,5,2,1-Feb-21,1-Feb-21,3440,Done
Autofocus for jump to commit,SRCTREEWIN-13436,suggestion,low,,7,21,1-Feb-21,,,To Do
SourceTree insists handling a specific repo,SRCTREEWIN-13434,bug,low,major,4,9,30-Jan-21,,,To Do
"SourceTree disappears when using ""Checkout in Sourcetree"" link from Bitbucket",SRCTREEWIN-13433,bug,low,minor,1,12,29-Jan-21,1-Feb-21,3443,Done
Not able to clone repos from bit bucket using source tree,SRCTREEWIN-13432,bug,low,major,7,3,28-Jan-21,,,To Do
"""Run 'git lfs pull' now? is triggered on every startup",SRCTREEWIN-13431,bug,high,minor,1,9,27-Jan-21,17-Jun-21,3445,Done
Custom action parameter $BRANCH not always properly replaced,SRCTREEWIN-13430,bug,low,minor,1,29,26-Jan-21,,,To Do
Unable to clone a repository,SRCTREEWIN-13429,bug,low,major,2,25,22-Jan-21,,,To Do
Pair Programming Note In Commit,SRCTREEWIN-13428,suggestion,low,,2,29,22-Jan-21,,,To Do
"Launching SourceTree getting""Run  'git lfs pull' now"" prompt",SRCTREEWIN-13427,bug,low,minor,6,3,21-Jan-21,22-Jan-21,3449,Done
Changing the remote repository path of project causes SourceTree to crash,SRCTREEWIN-13426,bug,high,critical,7,22,16-Dec-13,22-Jan-21,3450,Done
SourceTree Returns Incomplete & Inaccurate List of Repositories from Bitbucket Server,SRCTREEWIN-13424,bug,low,major,5,13,19-Jan-21,,,To Do
Sourcetree asks to select a Credential Helper and doesn't clone,SRCTREEWIN-13423,bug,low,critical,2,17,18-Jan-21,,,To Do
Vary folder icon if it contains changed/untracked/etc. files,SRCTREEWIN-13422,suggestion,low,,3,6,18-Jan-21,,,To Do
Prompted to download GIT LFS everytime I open SourceTree 3.4.2,SRCTREEWIN-13421,bug,low,critical,3,18,16-Jan-21,22-Jan-21,3454,Done
Sourcetree crashes upon cloning a repository,SRCTREEWIN-13420,bug,low,critical,3,14,18-Jan-21,,,To Do
External difftool extremely slow,SRCTREEWIN-13419,bug,low,critical,5,21,17-Jan-21,,,To Do
LFS file download prompt every time I launch Sourcetree since update to v3.4.2,SRCTREEWIN-13418,bug,low,minor,7,16,14-Jan-21,22-Feb-21,3457,Done
Changing the remote repository path of project causes SourceTree to crash,SRCTREEWIN-13417,bug,low,minor,2,13,14-Jan-21,22-Feb-21,3458,Done
Unable to create pull request,SRCTREEWIN-13416,bug,low,major,8,28,14-Jan-21,22-Jan-21,3459,Done
Troubles accessing REMOTES/origin,SRCTREEWIN-13415,bug,low,critical,2,2,13-Jan-21,,,To Do
